Gregorian Month,Bangla Month Name,Date,Day Name,Bangla Date,Hijri Date,Bangla Month Full,Hijri Month Full
July,জুলাই,27,সোম,১২,11,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,28,মঙ্গল,১৩,12,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,29,বুধ,১৪,13,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,30,বৃহঃ,১৫,14,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,31,শুক্র,১৬,15,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,1,শনি,১৭,16,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,2,রবি,১৮,17,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,3,সোম,১৯,18,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,4,মঙ্গল,২০,19,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,5,বুধ,২১,20,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,6,বৃহঃ,২২,21,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,7,শুক্র,২৩,22,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,8,শনি,২৪,23,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,9,রবি,২৫,24,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,10,সোম,২৬,25,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,11,মঙ্গল,২৭,26,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,12,বুধ,২৮,27,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,13,বৃহঃ,২৯,28,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,14,শুক্র,৩০,29,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
August,আগস্ট,15,শনি,৩১,1,শ্রাবণ ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,16,রবি,১,2,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,17,সোম,২,3,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,18,মঙ্গল,৩,4,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,19,বুধ,৪,5,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,20,বৃহঃ,৫,6,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,21,শুক্র,৬,7,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,22,শনি,৭,8,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,23,রবি,৮,9,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,24,সোম,৯,10,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,25,মঙ্গল,১০,11,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,26,বুধ,১১,12,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,27,বৃহঃ,১২,13,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,28,শুক্র,১৩,14,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,29,শনি,১৪,15,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,30,রবি,১৫,16,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
August,আগস্ট,31,সোম,১৬,17,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,1,মঙ্গল,১৭,18,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,2,বুধ,১৮,19,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,3,বৃহঃ,১৯,20,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,4,শুক্র,২০,21,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,5,শনি,২১,22,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,6,রবি,২২,23,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,7,সোম,২৩,24,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,8,মঙ্গল,২৪,25,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,9,বুধ,২৫,26,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,10,বৃহঃ,২৬,27,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
September,সেপ্টেম্বর,11,শুক্র,২৭,28,ভাদ্র ১৪৩৩,রবিউল আউয়াল ১৪৪৮
